model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-221.86819458007812,0.0,1260000,236.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4422459006309509,7.6341504e-05,-0.0003308952727820724,152,0.0032212506,-0.02633834071457386,0.04456329345703125,0.02505401271628216,0.17509632,0.2
,,,1277952,,,0.03,39,1.0981135487556457,3027,-233.27206420898438,,341.07,422,,,,,,,,,,,,
,-213.0797576904297,0.0,1280000,182.8,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4442785382270813,7.5718912e-05,-0.00010043170186690986,156,0.0032076477,-0.03290291503071785,0.03558349609375,0.022040410665795207,0.17444096,0.2
,-218.8342742919922,0.0,1300000,182.1,,,,1.0447576642036438,,,,,,,,,,,,,,,,,
,,,1310720,,,0.01,40,1.0605785608291627,3111,-242.80641174316406,,340.66,421,,,,,,,,,,,,
,-197.92178344726562,0.0,1320000,180.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.4287792444229126,7.509632000000001e-05,-5.857092764927074e-05,160,0.0031404644,-0.030183175578713417,0.04119110107421875,0.023339918698184192,0.1737856,0.2
,-221.9602508544922,0.0,1340000,245.1,,,,1.2363573908805847,,,,,,,,,,,,,,,,,
,,,1343488,,,0.02,41,1.0520895063877105,3194,-245.8979949951172,,331.42,420,,,,,,,,,,,,
,-196.74696350097656,0.1,1360000,202.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.43003255128860474,7.447372800000001e-05,0.00023431864974554628,164,0.002474527,-0.029821299016475677,0.0444488525390625,0.024666709767188877,0.17313024000000002,0.2
,,,1376256,,,0.01,42,1.0939970135688781,3251,-245.24386596679688,,296.8,423,,,,,,,,,,,,
,-214.0082244873047,0.0,1380000,172.1,,,,,,,,,,0.740818202495575,-4.256815433502197,0.28673410415649414,7.3851136e-05,-0.0009284572151955217,168,0.0038990518,-0.027010314166545868,0.05297088623046875,0.042012244812212884,0.17247488,0.2
,-226.98291015625,0.0,1400000,266.2,,,,1.1564172804355621,,,,,,,,,,,,,,,,,
,,,1409024,,,0.01,43,1.1792819678783417,3336,-249.32656860351562,,312.02,422,,,,,,,,,,,,
,-231.2122344970703,0.0,1420000,219.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.35508817434310913,7.3228544e-05,-0.0007873489284975221,172,0.0027912497,-0.027338571846485138,0.04999542236328125,0.028686361387372017,0.17181952,0.2
,-205.66354370117188,0.0,1440000,171.2,,,,1.2535829365253448,,,,,,,,,,,,,,,,,
,,,1441792,,,0.01,44,1.1455214738845825,3413,-246.1293487548828,,312.46,422,,,,,,,,,,,,
,-211.77084350585938,0.1,1460000,217.1,,,,,,,,,,0.740818202495575,-4.256815433502197,0.320034921169281,7.2605952e-05,-9.191694334731437e-05,176,0.0031212256,-0.028963830322027206,0.0464019775390625,0.030138357600662857,0.17116416,0.2
,,,1474560,,,0.02,45,1.150983166694641,3474,-245.45570373535156,,298.76,424,,,,,,,,,,,,
,-214.3623809814453,0.0,1480000,262.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.29162687063217163,7.198335999999999e-05,1.1262352927587926e-05,180,0.002331506,-0.025364190340042114,0.0360107421875,0.035226636566221714,0.17050880000000002,0.2
,-186.5714569091797,0.1,1500000,134.3,,,,1.065699726343155,,,,,,,,,,,,,,,,,
,,,1507328,,,0.02,46,1.2337076902389525,3554,-242.46493530273438,,286.92,424,,,,,,,,,,,,
,-208.86294555664062,0.1,1520000,199.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.31312036514282227,7.1360768e-05,-0.0003403845512366388,184,0.0031016679,-0.022890839725732803,0.03565216064453125,0.03998947748914361,0.16985344000000002,0.2
,-211.8658905029297,0.0,1540000,155.8,,,,1.1036165952682495,,,,,,,,,,,,,,,,,
,,,1540096,,,0.02,47,1.0741389989852905,3639,-245.50961303710938,,305.55,423,,,,,,,,,,,,
